"","Symbol","Name","Sector","2020-01-02","2020-01-03","2020-01-06","2020-01-07","2020-01-08","2020-01-09","2020-01-10","2020-01-13","2020-01-14","2020-01-15","2020-01-16","2020-01-17","2020-01-21","2020-01-22","2020-01-23","2020-01-24","2020-01-27","2020-01-28","2020-01-29","2020-01-30","2020-01-31","2020-02-03","2020-02-04","2020-02-05","2020-02-06","2020-02-07","2020-02-10","2020-02-11","2020-02-12","2020-02-13","2020-02-14","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-04","2020-05-05","2020-05-06","2020-05-07","2020-05-08","2020-05-11","2020-05-12","2020-05-13","2020-05-14","2020-05-15","2020-05-18","2020-05-19","2020-05-20","2020-05-21","2020-05-22","2020-05-26","2020-05-27","2020-05-28","2020-05-29","2020-06-01","2020-06-02","2020-06-03","2020-06-04","2020-06-05","2020-06-08","2020-06-09","2020-06-10","2020-06-11","2020-06-12","2020-06-15","2020-06-16","2020-06-17","2020-06-18","2020-06-19","2020-06-22","2020-06-23","2020-06-24","2020-06-25","2020-06-26","2020-06-29","2020-06-30","2020-07-01","2020-07-02","2020-07-06","2020-07-07","2020-07-08","2020-07-09","2020-07-10","2020-07-13","2020-07-14","2020-07-15","2020-07-16","2020-07-17","2020-07-20","2020-07-21","2020-07-22","2020-07-23","2020-07-24","2020-07-27","2020-07-28","2020-07-29","2020-07-30","2020-07-31","2020-08-03","2020-08-04","2020-08-05","2020-08-06","2020-08-07","2020-08-10","2020-08-11","2020-08-12","2020-08-13","2020-08-14","2020-08-17","2020-08-18","2020-08-19","2020-08-20","2020-08-21","2020-08-24","2020-08-25","2020-08-26","2020-08-27","2020-08-28","2020-08-31","2020-09-01","2020-09-02","2020-09-03","2020-09-04","2020-09-08","2020-09-09","2020-09-10","2020-09-11","2020-09-14","2020-09-15","2020-09-16","2020-09-17","2020-09-18","2020-09-21","2020-09-22","2020-09-23","2020-09-24","2020-09-25","2020-09-28","2020-09-29","2020-09-30","2020-10-01","2020-10-02","2020-10-05","2020-10-06","2020-10-07","2020-10-08","2020-10-09","2020-10-12","2020-10-13","2020-10-14","2020-10-15","2020-10-16","2020-10-19","2020-10-20","2020-10-21","2020-10-22","2020-10-23","2020-10-26","2020-10-27","2020-10-28","2020-10-29","2020-10-30","2020-11-02","2020-11-03","2020-11-04","2020-11-05","2020-11-06","2020-11-09","2020-11-10","2020-11-11","2020-11-12","2020-11-13","2020-11-16","2020-11-17","2020-11-18","2020-11-19","2020-11-20","2020-11-23","2020-11-24","2020-11-25","2020-11-27","2020-11-30","2020-12-01","2020-12-02","2020-12-03","2020-12-04","2020-12-07","2020-12-08","2020-12-09","2020-12-10","2020-12-11","2020-12-14","2020-12-15","2020-12-16","2020-12-17","2020-12-18","2020-12-21","2020-12-22","2020-12-23","2020-12-24","2020-12-28","2020-12-29","2020-12-30","2020-12-31","2021-01-04","2021-01-05","2021-01-06","2021-01-07","2021-01-08","2021-01-11","2021-01-12","2021-01-13","2021-01-14","2021-01-15","2021-01-19","2021-01-20","2021-01-21","2021-01-22","2021-01-25","2021-01-26","2021-01-27","2021-01-28","2021-01-29","2021-02-01","2021-02-02","2021-02-03","2021-02-04","2021-02-05","2021-02-08","2021-02-09","2021-02-10","2021-02-11","2021-02-12","2021-02-16","2021-02-17","2021-02-18","2021-02-19","2021-02-22","2021-02-23","2021-02-24","2021-02-25","2021-02-26","2021-03-01","2021-03-02","2021-03-03","2021-03-04","2021-03-05"
"103","CINF","Cincinnati Financial","Financials",745755,461828,409619,443080,884493,751657,437596,605511,627232,469925,472171,576196,759686,352075,485420,330079,463946,479635,422567,467189,976620,538907,563901,671895,867522,755114,646551,875312,664957,795208,612615,472150,435433,340177,682455,775056,933702,1182519,1742420,2197099,1528673,1343511,868686,993689,1241152,1397531,1405767,1367254,1276218,1517617,1414824,1557280,1273899,1390264,1491457,1461779,1465313,1261979,1072877,800471,954604,2029694,1195092,976166,963260,960763,1014087,750191,1231360,609554,1472121,1234468,879706,769994,623052,560079,567711,508332,522181,686119,3936370,1620503,2354410,2993727,2016882,1646359,2042209,1404394,1236785,1419610,1498399,1678576,1718564,2585735,1765556,1887251,1331828,2124783,1341849,1561554,2566798,1553600,1743566,1006990,873716,1437728,936080,1723021,1461203,1050992,1678478,1708593,1136797,1371874,1216539,1006312,1166593,6678379,1774586,1342085,1531659,1049496,1918092,1075712,1295562,1032807,1461300,2111664,2072694,1093112,1278097,1147366,1360651,1372926,1252459,1080766,1123491,1313753,1080942,1091949,1109018,1082579,965744,1474497,1269932,1112002,2517908,785983,764050,836831,485406,729074,679293,800759,1165727,981262,605423,558903,549538,450390,409770,385872,473812,396451,385892,406655,356579,585254,554340,579280,528386,631596,703434,786864,847947,682173,732950,497244,699905,840338,1741462,1155685,980542,1803261,600008,627639,792973,576374,787755,667713,499402,837254,735424,697350,423937,592571,492250,553236,385797,613149,539204,453096,560926,652753,1821969,1589505,1070609,1209427,1207782,840999,1306635,590539,666413,775766,476651,420268,1371936,994299,820294,577502,2530838,1315108,940188,573981,828966,825149,695079,861579,537710,370486,3184249,1105975,858923,860441,886455,520708,410019,494427,606539,551060,964286,816929,998350,912706,2524218,829305,5001198,1220902,226472,579953,727278,411644,446652,974674,574821,731692,650732,685995,600065,658708,847870,901963,909737,772146,528843,800263,1344628,983378,1382282,2367923,753478,1138636,808206,723050,464045,629629,495901,515859,1094460,731343,1330629,578258,2655521,671986,818532,661372,2384144,694887,625973,1020663,1100327,1057178,526981,982454,855831,667923
"104","CTAS","Cintas Corporation","Industrials",506791,493104,409372,388388,702061,810809,320202,408418,447225,425508,354137,488824,464631,325694,322785,244173,516840,335355,480215,334643,696918,480002,529893,576482,438722,366057,384969,263142,417112,442088,263878,386638,295977,585068,500297,592272,875384,707388,932794,1392276,1058056,895810,681804,651865,835473,1113421,911624,665033,1942683,1253540,1741011,1878243,1863736,1430908,2573685,1642876,1375724,1677215,1731574,1005619,1073752,1613673,1114170,1437310,1007933,1343113,1611244,943075,934436,761660,844998,915198,763409,812008,775142,698439,669232,955779,760937,649534,1216444,997090,827261,806663,706781,525328,497025,401533,374852,445708,750266,1359911,2393051,1459884,999205,1054313,952543,544726,436338,854444,750279,484017,1246798,481401,877138,732784,526716,1048501,755460,611998,606217,886497,564292,575549,452215,368344,402618,973306,602427,405222,650458,489761,1052260,437526,685279,660199,454764,484693,442364,404782,434087,280459,540705,345731,413655,452784,290826,416735,353157,506537,1066310,731204,546930,508188,648259,570170,736603,543782,598478,409870,358290,441638,542217,668569,344244,253756,378020,359236,268707,205080,220669,400370,254696,293307,238598,270000,345602,359278,329697,324333,534082,604287,641372,490892,464081,307800,333569,368360,388860,543404,1213924,498427,602469,825086,587229,425857,546659,329666,525530,510815,458970,324197,570821,309374,353670,354416,588024,425718,431879,335878,336771,329465,322531,447276,337356,298322,330892,541795,530917,389104,577099,356577,293188,558570,407178,330972,1043376,506401,373409,301584,262804,387103,364025,250325,258236,258273,329132,388901,192408,112166,521157,339743,539813,439786,467080,365801,359508,528383,365250,371849,339437,458595,274120,407779,954398,580555,762827,504952,185577,879606,413550,303666,279521,850093,507468,414718,701165,398413,493241,388662,494485,688322,626866,570337,599314,436673,322730,571532,358785,658992,392607,807811,507041,553580,418742,411205,419447,339084,347553,428682,406677,199956,361418,364787,350362,412302,336646,454723,544007,424108,561032,535372,401314,657550,634535,569911
"105","CSCO","Cisco Systems","Information Technology",16710076,15587707,22185267,16566640,25181655,18211200,13504600,18152040,17951758,16289443,20094931,27176174,21271307,15185991,16767687,14066913,20665994,14035052,14289781,14822581,20069931,15383527,13947268,17042331,9814844,16807738,19012716,23168267,31686166,47044716,26747248,18550358,27626380,20416659,20031423,35295921,48024747,38528925,51442851,80193996,48864271,49294737,30022089,30255898,48605591,61535333,50536518,63608527,51855305,53859600,44211289,41572404,56904267,58319654,48582546,39823397,48235609,42873923,38487226,31278581,27120333,26019845,26790667,28180489,21235157,31641428,30366068,22683517,27650195,19591971,22882368,18428791,26177970,30701461,23438799,31661042,18337406,16100169,14641718,17937887,16427731,17430133,26679921,22095255,15997715,15060218,16040349,20173635,21962827,26182685,25817074,36986702,50417743,30573032,26980080,24345423,20184456,18552548,12592805,21776880,22157156,20027748,43570367,18730622,17285945,17491951,14100662,22591054,17820919,18597267,18462377,35582020,26125553,21300098,28074579,20399076,22423457,36103238,18398599,23222359,22840139,19114867,106928267,23875408,21888827,17265262,19635279,16194893,17102839,15020785,26028435,13775902,17965948,19303500,15704961,17710346,20389736,15916268,15207562,27218264,23750217,16983627,15575959,13975256,11618230,15385149,17706367,14142518,12839490,13077572,14190870,17054306,14999189,18859633,27023683,91849461,32539453,30374646,23344586,20097423,18443877,17389561,17742932,15417363,21625828,22456772,16573581,21297990,23344890,30045675,39288117,34867423,29101793,23351624,25108752,21852955,19866723,19024095,24322445,22225917,44450761,28494973,17656815,24843243,30910354,22966645,24275701,16476893,27113197,20763541,24492961,26929054,28430813,20593711,19031346,16167474,22757245,23438266,16444686,15456971,21295117,19600466,16564890,17016266,20399040,15556084,29146548,37911471,34561490,35331966,29159659,23483098,27342892,30121919,23149699,19475288,42649538,31514511,27332809,29543624,49120098,34572647,23140911,21327707,22177706,19778945,19656683,22732603,22617660,10769521,34741648,23926012,17422160,27710714,17319803,14086826,13348461,22679751,17741493,14577713,16112333,18165252,16191982,16141596,41026972,19865295,16031552,12032642,5720538,12845688,11828960,11043106,15105475,24392541,17763655,21823112,18218757,20936283,25062260,20137405,19367270,22333477,30271669,28868848,16499412,17495888,14643420,16581260,13087753,29634489,21166033,22608096,16776851,16339543,13173639,22285660,25488557,25215439,23542770,44388926,18589910,15239817,18539026,12435698,16867524,25117701,21071521,19714927,17823645,21858291,21824935,17396073,14832974,16851125,24653504,33197580
"106","C","Citigroup Inc.","Financials",12728892,12437445,10035039,10472429,11292363,12895299,10061635,16563205,24967135,16060953,10410190,12410729,10519983,8045641,11618124,15035220,15858845,10952571,9475242,12493159,17097766,11092995,12164370,13069792,12819873,8340923,8415423,9435992,9483243,8945171,9055772,10343518,9140050,11756840,14016584,21090436,27434177,25550989,34650519,46011828,29002713,29539732,24172580,27270151,29913695,35434754,32518804,36678700,45912000,40503734,35083203,51576569,47223077,43377307,38056725,32982636,34051238,38185069,31526377,25471653,27449766,26185938,29192062,29565945,25298543,30038621,35197168,32924284,43631383,27917174,40405544,32210162,37429259,41222044,33436465,35298412,21887844,23939473,26280568,30913769,28939595,32901671,28636555,28098078,26316642,27315208,25001758,29834229,22900517,34711536,33210087,35327048,40944550,28483065,39382301,27242716,23828898,21676070,22624031,34399989,43617461,37969920,35872698,22859836,27607503,33292337,33058437,44619609,32531425,30394989,36625549,61921669,39011028,36531281,37609831,23692977,22260678,50355792,22627060,22064107,27191852,28045344,35373111,22578568,23349133,19203129,22034088,22587576,21225923,19105910,24244759,27983904,27075457,35575830,27663739,18814373,19744987,23436585,21942678,17873400,17090424,16258882,13991392,13121392,16990981,24154649,22488389,15865381,16230763,16500766,11024980,21499086,16850409,25256473,19347989,13815271,13861310,19738660,17100781,20837297,15920880,17416043,19745076,17244775,14541566,19393454,16990331,16280126,16909928,15348570,25003215,25124049,28128566,19193919,22324372,21033248,58798346,84689733,45536844,28741596,33201718,33469709,25799189,28780156,31259181,26917180,21204555,20700286,22533427,21900505,23899213,24170628,29505859,22135786,28630723,25595564,24070168,49899070,30300888,26408021,26007087,22793574,21255916,19816327,21341207,18486488,24928127,24251710,27485036,23351024,26971113,24310834,29985232,25956392,24945084,17705227,56895239,33275846,29719617,28465644,18645634,26699359,18969994,25823970,20262350,15478491,28923234,32640695,28250530,14267076,23359263,22663849,26796768,18776122,24695961,21280902,15511686,27278199,25866615,20960043,19688272,16154763,14988336,18229879,28712696,31906138,17880992,16579055,6824395,14014458,10800421,10770738,12500739,21286201,20213115,38106606,24161020,20747754,20460269,20130613,18541850,29108871,38243793,27022421,17448891,19416248,24740399,25754124,18760885,24657198,19986196,27078339,16073001,17735593,18730596,16612891,13493779,15055448,12251727,12368944,12108275,12174560,19065436,20239597,14833206,20456223,23011138,26712054,20752879,25098451,23788233,28054645,19200581,25157635,28518413,25406770
"107","CFG","Citizens Financial Group","Financials",2903807,2768122,2739000,3266734,5653813,2667423,2004015,3404271,2887423,4466166,5869078,7556253,4493332,5494838,4050091,4790135,4654855,3714605,2555421,9264963,5990984,4277177,2855678,2963166,3180695,2354900,2980092,2716848,2068257,3005600,2089129,4455732,4542070,3906687,3261162,4538488,6157283,6767150,7733491,12008061,8307773,10007330,8414035,8732464,8335696,9952634,11834716,11994789,9385402,9319826,8465828,9616568,8283290,8480244,18779532,7120894,7612351,11161515,10039117,7035632,6643094,6219748,5805636,7065500,4615937,7723647,7126890,5693446,6535953,4721811,6595479,6313597,7332170,12657511,10178504,6203283,5812213,5598196,6454154,7674903,7818939,6214236,5289518,4264540,5863032,5820234,4197369,4983612,4670376,6957793,5206905,6905785,7656505,4215907,7476722,6491944,5464972,4317466,2651377,7720999,7129659,4995127,6797344,3227458,5090193,6352842,6025766,10055575,10600539,5585789,8983540,7522634,4722696,5615017,6394011,4287297,4455897,16907989,4647699,4733752,5361841,5413148,13149646,7956660,8059210,4898864,6689252,3902611,3939167,4074838,4102672,4605171,4819160,3860270,3892808,5141923,6493082,5046141,4945054,4927200,5753905,5731081,4854811,3813133,4775676,4269256,6102773,5454868,3720456,4020388,3520858,4235777,3715207,4731801,3258741,3139587,1935546,1860434,2545461,3777359,2685646,3166316,2856907,4333651,7896363,4418316,3175192,6579525,6890977,5926504,6917105,5626648,10854134,8606414,15213664,7692117,14720206,6309790,7296525,7721537,8947206,4990125,8540780,4782431,3597323,3455203,4067728,2884531,4933131,3432262,3348779,4597229,4766516,2964844,2483240,4148787,3358337,5851554,5018913,9333642,9017567,4454623,5146431,5051332,4311479,4393874,4478551,3508450,3804654,4503240,3404180,3771198,3596277,5861330,8868594,4255962,10508669,5545163,4024377,4376821,3499671,3892259,3363793,2744898,2878404,3817383,2417029,3882784,2792414,1556615,5330363,3831269,3683150,3678987,3605804,3950461,3466520,3330670,3055725,2481027,3481661,2861956,2612096,3559927,7189460,4625721,2904514,2426702,1333688,2449579,1930603,2060180,1829859,3483470,3095457,6295002,4488726,3406334,3771256,2974613,2567679,2721251,4120133,4498846,3991556,4310354,3734560,5470029,4672634,5949674,5126001,6484641,4597784,3739653,3663413,5027488,2618574,2909005,2600113,2818794,2953882,2030588,6023061,3695481,4410870,3646002,4503904,6150956,5381807,6850393,6384488,9339782,10253871,8511582,8775530,8907905
"108","CTXS","Citrix Systems","Information Technology",1352558,1107030,1046672,933693,1261607,1606078,964591,1543668,895115,892093,796029,1416439,1434203,1948145,4300853,2063803,1312320,1530548,1570472,1541155,2397782,1373348,1698659,1882524,1305516,1014876,1618884,1006311,1036009,867894,1257241,1915089,1273113,1384700,1739983,2128174,2277755,1676184,2536859,4823412,3897068,2596231,2649260,4652271,4220938,2854112,2749669,3315675,3493121,3337805,4232471,5231577,3862464,3889429,4509370,3061792,3012974,3576459,3458850,3330388,2992012,2957279,2344673,2950425,2793315,3663146,3177907,2128323,3334906,2060995,2305890,1989238,2054991,2113989,1562462,1821401,2119920,5614991,3317347,2390944,2388849,2774314,2177499,1545690,1500741,1624885,1533907,1771950,1485417,1432395,1934810,1758520,1430963,1616244,3602212,2468044,1804440,1545826,1616310,2347710,1642403,1670986,3616424,1352206,1617964,1498987,1413503,2048370,1765302,1311317,2056257,1713221,1863743,1491491,1254166,964597,1364525,2916692,1019219,1121291,1285640,1298441,2984513,1492639,1145064,1059089,1115449,1267727,984489,1097534,1016584,880774,1697433,1852463,1557504,1246657,1267713,2297112,2048701,2168044,7656189,3391214,2010753,2114809,1540273,1844090,2193384,2254127,1466970,1342173,1186379,1141093,1241819,1490864,860568,972817,706611,896966,962623,898820,804008,1364835,1004551,924241,906735,982219,957162,1237990,1956744,1220553,1779561,1574134,2843272,1618502,1996800,1613606,1320306,1504382,1128029,1424451,3356305,1328412,807016,805205,549397,749512,767632,797168,933281,852639,780807,955584,1106455,1208201,722559,890391,1655003,1554388,1218625,869650,1134587,1138655,1200402,1217021,4542274,4006614,1784465,2490307,1833762,1580996,1761850,1631745,1362504,1692540,1346178,1019412,2835924,2303653,1499762,1172146,1314191,1678548,1597327,1773951,1572378,2513640,1582659,2317603,1264469,735833,2874621,1920423,1455610,1219421,1279681,1081342,1285673,1386714,1661589,2018543,1955831,1293471,1192606,1556347,6630058,1358323,3073704,999585,431857,2217095,702005,2225160,598217,1123654,780307,1329405,892700,1039492,990169,1353383,1030802,1190865,1003661,3263308,1740827,2288526,1236507,2915494,1773825,3148651,3776790,2059948,1366095,1283446,860612,842030,664644,905156,675994,693779,839466,560122,875512,1058394,877521,1088175,1105216,1731105,1030878,1527747,3064563,1231459,796215,1155844,1453507,1086932
"109","CME","CME Group Inc.","Financials",1464894,1184920,1329834,968038,1512422,1667156,1838244,1244151,1260596,1184982,1008412,1262957,1156775,952532,1101592,1245526,1720279,1406830,921140,1559246,1634635,1661805,1649252,1870362,1279969,1163114,1042738,1270272,2374361,1094153,1054480,1240529,1854530,1604230,2869537,2604798,2754088,4405090,3940868,4751275,3768457,3753770,2348398,2800817,2771281,3294463,2730779,2817316,4187546,4385807,5752382,3602635,4327727,4223838,5123422,3848569,3172297,4155593,3594384,2339166,2299669,2546337,2333315,2335411,1747171,2359708,2448741,1685097,3187736,1290250,1905478,1648023,1200618,1597098,2660209,2532599,1794335,1348533,1483556,2104630,2140286,2394609,2413350,2457163,2274637,1678192,1575738,1716930,1445562,1950232,1307668,1508682,1505469,1802882,1339243,1044853,950720,1800020,999302,1595732,3862910,2497387,1761078,1442612,2288061,2197109,1634338,3033118,2022659,3099023,2409418,2928654,3020340,1967511,2311568,1857275,1177756,3059567,1603523,1770925,2343347,2982188,3176119,2464743,2676188,2911783,1574199,2149414,1630030,1521319,1337984,1955227,1512575,1580050,1659561,1366136,1599403,1123939,1423162,1230951,1415329,1245172,1651505,1855612,2170228,2631499,1845262,2226135,1839184,1111143,1808137,1903735,1991563,1966798,1567998,1166316,1085796,1921824,1366715,1308342,1051759,1223597,994132,1152790,1373663,1339456,1220061,1374144,1340560,2406968,1812386,2038786,1672679,1241392,2055487,2143873,970619,1479844,1885441,1615616,2325122,1900710,1160320,1579423,1258763,1337727,1396818,1741739,1322805,1308151,1133280,1920649,1754728,2043745,1408620,1100648,893581,1263006,1146511,1339659,1006380,1284716,1956357,2142133,1440604,1061836,1342060,1565838,3241809,2348095,1947888,2100671,1770506,2485987,2023652,1566148,4198359,3366032,1952056,1500088,1548834,1660281,1372559,1225403,972839,1282776,1752702,2072285,1827985,920999,1925468,2354094,1673761,1449830,1323190,1210984,1545759,1406984,1831127,2010585,1382247,1440825,1223639,1954227,3581305,1831183,1001913,1290016,466097,945814,872086,813394,1400106,1437733,1683179,4452408,2788805,1867415,1399217,1629540,1973945,1330025,1376746,1528190,1217549,1424347,1135631,1350742,1248937,2261347,1514571,1829452,1582747,1617250,1296762,1394310,1741445,2071079,2018580,2626336,2515077,1441415,2677819,1511385,1497254,1432424,2016397,3454378,1681992,2380500,2676775,2418599,1593382,1406130,2136842,3186175
"110","CMS","CMS Energy","Utilities",2420073,2074769,1478321,1683475,1703714,1152359,1843999,1474484,1789031,1480343,1915160,2604990,2539185,2443282,1832426,1625242,1627941,1857854,1697452,2429671,2939413,1850267,2346406,2119535,1677875,1545459,1380548,1161673,1337336,1624108,1365655,1400003,1629728,1390137,2028273,2121848,2173507,2032977,3188364,5533307,3386676,4155434,2932003,2997109,3584608,5894713,5114850,4299098,5918377,4145396,4327954,5257745,4019114,2977941,4233125,3455261,3438120,3504884,2645037,3011804,3585623,4662972,2527891,3684822,2480015,2366407,2482484,1727779,2400746,1612574,1937683,2063276,2139721,1783873,2123532,2009543,2221443,2049851,1972558,2427332,2908511,2640563,2673771,1956131,1662237,1522831,1535793,1631264,1457886,1947492,4242829,3484022,2359208,3950811,1701378,1550993,1412021,1313697,1497279,1289143,1774980,1380315,2498029,1504344,1649122,1584137,1539239,1988713,1536702,2325306,2222604,2378963,2185442,2157450,1902159,1459675,1361698,3748081,1803441,1470448,2007928,1446436,2430821,1766075,3315173,1959824,1634492,1662030,2145546,1820314,2639116,1921888,1818188,2132227,1570497,1580948,2256328,1086874,2258386,2537771,1640795,1595928,1123112,1274817,1108392,887319,1409663,1339108,1714206,1515997,1696201,1935900,1135095,1450275,2034550,1430556,1097736,1764672,1058389,832039,1128256,1933594,1362445,997225,1770641,2350432,3243031,3389166,2293955,3097474,2080795,1770306,2488546,2653132,1867193,1411048,1589523,1685501,1512473,1823434,3521111,1994982,1775209,1395702,1695565,1781233,1047018,1026440,1534384,1591614,1356191,1466406,1259019,1027854,1138028,1263718,1446300,1142507,905077,936188,1085118,1123326,1599850,1419054,1616420,1188793,1533485,2341777,2067401,1817975,1917709,1320300,1282134,1236876,1197411,1057437,1651777,1208123,1123471,1988859,2058119,2297609,1770394,2768333,2311805,2889867,1906932,2359015,1830424,751075,3321977,1679323,1581347,1346890,1111647,1809598,1508085,1185932,1411447,1565496,1358194,1780977,1347371,1579117,2939573,2156196,1500242,1108397,674174,1287668,1416268,2538432,1872281,1821623,2745106,2296553,2023945,2471648,1488557,1613642,1878611,2136476,2463464,1694378,1993825,1649327,1802221,1581325,1741476,2590278,3805517,2474922,1541809,1398034,1324444,1584504,1904530,2412480,1658984,1543893,1302987,1362226,1817305,1533228,1558675,1846996,2260888,2432694,1772828,2148729,3417811,1918100,1668313,2721305,2018022,2120050
"111","KO","Coca-Cola Company","Consumer Staples",11867650,11354471,14691331,10225636,10675996,15397936,13040108,14302837,16345270,17734619,10233861,14262628,11967576,12869581,12858342,8593334,14359908,15240160,13162128,20222384,17684541,12333459,15416940,11414887,9346819,8757746,7984881,7431171,9178584,8172569,9965529,10075672,6265658,7597207,10841643,14412757,15913991,15837801,23746546,40890378,25695354,27095185,20522577,17946121,22351990,27867037,27451551,22610926,31893748,33684332,28674815,32100035,35020842,41945862,51493270,44952445,49065438,42501287,37818599,23291961,23426329,25357374,21928902,17619683,14204266,22843922,21275214,18931984,19163832,19578090,21794319,12877619,17572791,19840101,18927029,26856504,15811619,17659287,15174873,19172598,17239191,15769630,20791279,14285377,22541047,13366645,11887313,16465906,13984960,10868383,13417868,15848600,17990670,31570613,26118213,17836565,22290905,13274462,13007667,22221697,18441417,16230327,51125046,17010571,15251495,15502059,13600561,20499142,19889765,16707488,15675816,26056707,21813209,15622016,18802753,12599347,9365593,30464581,20870918,14671178,17627883,13824664,21944136,17603890,23675721,14321742,15108082,15139545,13034024,13848626,16080851,15620598,16702212,17067781,23732778,13304632,13899300,16612560,25681353,29831184,15934950,16196843,17346533,13872700,13758066,17276478,14850566,14141813,11707035,10561639,10745032,11669705,11887957,16531563,9564025,9882909,10075809,9008913,9828985,17371036,11308737,14734120,9257725,7827833,10124150,10931635,16420259,18510779,12590434,26332630,22289383,21019545,17776745,15252275,15439505,18272338,10911657,12838392,15354678,13287136,23816602,17514771,13034616,17121210,16788103,12603379,11215708,12427767,15755901,17577263,13610071,10628736,10077431,10135646,12143920,11407809,11386512,14365292,10582935,9963190,13570887,9930443,10972732,12517411,20189227,13491265,14696396,13892109,19886155,15369877,15805004,15156149,15285086,12930818,12452432,9294903,33441952,29706666,17399922,15026961,12449444,14908181,14248362,15278206,17189549,15647921,13194015,12998958,10194758,8499289,43203587,18571302,14913072,17318877,18122399,16210855,12485802,11508587,12097340,10638103,22292031,16194487,15679648,12677329,35480123,14926602,9691586,7040628,3265532,8817306,8320600,8142749,8494972,25611104,20323822,38724516,53225700,29673952,19310581,18121012,18864148,34303579,24366789,29114466,23115796,19707198,15400347,16604213,12922626,21242412,17498867,18670257,12183609,13274371,12274115,20597413,12742032,17833222,14496599,22830916,21928581,13137059,15093406,12775807,12749841,15968769,14146489,16222250,14441998,14154823,23564536,13904859,11755132,15410665,22036421,21310758
"112","CTSH","Cognizant Technology Solutions","Information Technology",2234530,2535670,3017038,2953345,2912095,4049193,2538310,2781997,3066835,2613378,3048685,4046038,3823608,3534516,3048138,2631179,3309783,2683112,3416121,2428897,3340681,3646750,2793093,3815490,7789888,7927052,3076963,3035963,2629760,2827030,4148284,3218156,3612999,3641265,4787080,4557343,4976869,5205523,5326656,7873500,5676996,5118143,3244159,3893348,5364392,7526393,6703342,6122881,7702013,5853608,6489802,6919521,7214397,5650566,6541317,8152757,5853370,4920955,5291127,5159271,6230160,5228544,5490452,3819680,3225831,5659227,4056078,5382198,6208818,3698925,5486598,3385101,3551138,5052631,4955549,4115917,3591104,2708916,4056600,4324893,3728890,3707175,4275314,2956213,3566221,3362615,3939149,3869227,7785161,3688056,3603270,5833991,5218347,4724862,3686502,3415263,2866697,2278715,2718043,3632820,3709677,3031148,6450267,3203732,3079352,4428896,2349314,4945980,2706219,2364906,2811039,3404444,2474651,2724204,2685608,2234968,2570650,5365021,2388699,3103277,4597212,3854683,3743941,2907251,3845031,2968048,3123837,2203022,2604593,1783486,3043120,2037889,3415264,2404130,4574878,5221047,3011453,1977869,2385902,3036926,2515242,2677980,2997383,3155019,4818264,6495271,3646901,3398170,2963068,2697270,2307649,2054490,2338784,2302548,2699002,1531481,1289343,1768655,1535440,1935478,1315338,3580139,2429918,1864206,2071041,1589980,1536856,2653687,1705206,2711194,3366681,2544865,3102694,2275403,2679201,4935531,3411916,3436586,3161210,3819546,5525498,3190042,2838703,3086110,2855009,2758064,3971430,2585597,3912154,3426441,2460550,4117464,3111058,3180263,2312751,3584320,4748863,3322191,3273388,2637225,2533193,2791442,2252389,2916296,2705353,2135638,6195658,5498403,8444543,7110849,4298214,3276126,2089612,2427350,2079270,1394681,3344135,3789867,3254337,3087184,2681154,2162525,2026769,4192621,2915689,2277130,1958073,2592140,2189506,1104925,3797954,3651377,2250988,2108235,3078986,2419691,2979505,3585612,2069903,3528717,2640603,2741899,2543149,5462100,7656768,2369111,2405730,1674190,1036965,1179532,1035507,1090604,1500749,2305716,1856793,2981168,2853530,2704672,2156591,2237850,2030334,2360498,2174664,2667933,2479369,2209215,1449586,1757221,2053725,3936734,2992803,3273008,3442335,2648483,3483826,8771083,4711830,2498603,2656443,2060156,3609333,1880850,2446085,3397009,4440796,4082459,3052918,3310557,2922741,2786544,3084426,3227021,3068976,3406738,3284178,2778977
