"","date","mean_ind","mean_health","mean_info","mean_comm","mean_con","mean_ut","mean_fin","mean_mat","mean_rlest","mean_constpl","mean_nrg","mean_tot","groupa","groupb","groupc"
"781",2019-02-08,119.653911594203,158.146491935484,105.618648648649,165.16875,213.997066666667,69.8251851851852,94.0247692307692,96.7266666666667,110.114,81.6343333333333,59.6359090909091,123.333935112936,155.820594936709,105.627657594937,91.0298245614035
"782",2019-02-11,120.707352173913,159.367622580645,106.577841891892,166.565,214.938336666667,70.0177777777778,94.3306138461539,97.2560416666667,110.467666666667,81.9403333333333,59.8131818181818,124.095411293634,156.839370253165,106.293937974684,91.3071929824561
"783",2019-02-12,122.523549275362,161.091853225806,107.786363513514,168.007508333333,218.316031666667,70.1696296296296,95.5362307692308,99.0647916666667,110.227333333333,82.4705,60.7868181818182,125.563424640657,158.907170886076,107.857815822785,91.2526315789474
"784",2019-02-13,123.156423188406,161.994379032258,108.607425675676,168.870208333333,218.90225,69.7188888888889,96.2576923076923,99.5358333333333,110.015,82.647,61.6777272727273,126.140049691992,159.645376582278,108.502551898734,90.9273684210526
"785",2019-02-14,122.801811594203,161.779985483871,108.805,168.513558333333,218.065416666667,69.8381481481482,95.1655384615385,99.1808333333333,111.207333333333,82.3873333333333,61.9490909090909,125.884916837782,159.365951898734,107.844462025316,91.6114035087719
"786",2019-02-15,124.076086956522,163.680322580645,109.826591891892,169.6828125,219.460831666667,69.9403703703704,96.3164615384615,99.7933333333333,111.320666666667,83.1286666666667,62.7352272727273,126.969795071869,160.55193164557,108.96746835443,91.7194736842105
"787",2019-02-19,124.237079710145,164.241772580645,109.886748648649,168.905195833333,220.283016666667,70.1175925925926,96.7333846153846,100.145833333333,111.936833333333,83.5811366666667,62.7186363636364,127.28412238193,160.774209493671,109.262838607595,92.1277192982456
"788",2019-02-20,124.51124057971,163.852419354839,110.262852702703,169.073541666667,219.076558333333,70.5088888888889,97.1260769230769,101.3275,111.5855,83.9093333333333,63.305,127.347608213552,160.517782278481,109.723611392405,92.1281578947368
"789",2019-02-21,124.577091304348,163.499670967742,109.844647297297,167.442083333333,218.632783333333,70.9698148148148,97.2872553846154,101.373333333333,111.0165,83.5900566666667,62.7425,127.082603901437,159.905575316456,109.825638607595,92.0470175438597
"790",2019-02-22,124.782923188406,163.962338709677,110.831094594595,167.730416666667,219.522833333333,71.5416666666667,97.3521046153846,101.399791666667,111.736833333333,83.0718333333333,62.4288636363636,127.484372689938,160.749373417722,109.946224683544,92.6970175438596
